caseId,receivedDate,caseStatus
YSC1790000420,11/21/2016,Card Was Delivered To Me By The Post Office
YSC1790000421,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000422,11/23/2016,Card Was Mailed To Me
YSC1790000423,11/29/2016,Card Was Delivered To Me By The Post Office
YSC1790000424,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000425,11/25/2016,Card Was Delivered To Me By The Post Office
YSC1790000426,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000427,11/23/2016,Card Was Mailed To Me
YSC1790000428,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000429,11/22/2016,Card Was Mailed To Me
YSC1790000430,11/22/2016,Card Was Mailed To Me
YSC1790000431,12/01/2016,New Card Is Being Produced
YSC1790000432,11/22/2016,Card Was Mailed To Me
YSC1790000433,11/23/2016,Card Was Mailed To Me
YSC1790000434,09/30/2016,Case Was Received
YSC1790000435,09/30/2016,Case Was Received
YSC1790000436,09/30/2016,Case Was Received
YSC1790000437,09/30/2016,Case Was Received
YSC1790000438,09/30/2016,Case Was Received
YSC1790000439,09/30/2016,Case Was Received
YSC1790000440,09/30/2016,Case Was Received
YSC1790000441,09/30/2016,Case Was Received
YSC1790000442,09/30/2016,Case Was Received
YSC1790000443,09/30/2016,Case Was Received
YSC1790000444,09/30/2016,Case Was Received
YSC1790000445,09/30/2016,Case Was Received
YSC1790000446,09/30/2016,Case Was Received
YSC1790000447,09/30/2016,Case Was Received
YSC1790000448,09/30/2016,Case Was Received
YSC1790000449,10/25/2016,Notice Was Returned To USCIS Because The Post Office Could Not Deliver It
YSC1790000450,09/30/2016,Case Was Received
YSC1790000451,09/30/2016,Case Was Received
YSC1790000452,09/30/2016,Case Was Received
YSC1790000453,09/30/2016,Case Was Received
YSC1790000454,09/30/2016,Case Was Received
YSC1790000455,09/30/2016,Case Was Received
YSC1790000456,09/30/2016,Case Was Received
YSC1790000457,09/30/2016,Case Was Received
YSC1790000458,09/30/2016,Case Was Received
YSC1790000459,09/30/2016,Case Was Received
YSC1790000460,09/30/2016,Case Was Received
YSC1790000461,09/30/2016,Case Was Received
YSC1790000462,12/02/2016,Card Was Delivered To Me By The Post Office
YSC1790000463,11/22/2016,Card Was Mailed To Me
YSC1790000464,11/28/2016,Card Was Delivered To Me By The Post Office
YSC1790000465,11/29/2016,Decision Notice Mailed
